index,Posit32 error,Float32 error,Matrix size,Random interval
0,0.0,0.0,8,10000.0
1,0.0,0.0,8,10000.0
2,0.0,0.0,8,10000.0
3,32.0,8.0,8,10000.0
4,0.0,8.0,8,10000.0
5,64.0,0.0,8,10000.0
6,16.0,0.0,8,10000.0
7,0.0,0.0,8,10000.0
8,16.0,0.0,8,10000.0
9,32.0,0.0,8,10000.0
index,Posit32 error,Float32 error,Matrix size,Random interval
0,32.0,0.0,8,10000.0
1,0.0,0.0,8,10000.0
2,0.0,0.0,8,10000.0
3,16.0,0.0,8,10000.0
4,16.0,0.0,8,10000.0
5,0.0,8.0,8,10000.0
6,4.0,3.0,8,10000.0
7,0.0,4.0,8,10000.0
8,8.0,2.0,8,10000.0
9,0.0,0.0,8,10000.0
10,32.0,8.0,8,10000.0
11,0.0,0.0,8,10000.0
12,0.0,0.0,8,10000.0
13,64.0,16.0,8,10000.0
14,0.0,0.0,8,10000.0
15,0.0,0.0,8,10000.0
16,0.0,32.0,8,10000.0
17,16.0,8.0,8,10000.0
18,24.0,8.0,8,10000.0
19,0.0,0.0,8,10000.0
20,0.0,8.0,8,10000.0
21,0.0,8.0,8,10000.0
22,32.0,8.0,8,10000.0
23,0.0,4.0,8,10000.0
24,16.0,4.0,8,10000.0
25,0.0,0.0,8,10000.0
26,64.0,0.0,8,10000.0
27,16.0,2.0,8,10000.0
28,16.0,4.0,8,10000.0
29,0.0,10.0,8,10000.0
30,32.0,4.0,8,10000.0
31,16.0,0.0,8,10000.0
32,16.0,4.0,8,10000.0
33,9.0,1.5,8,10000.0
34,64.0,16.0,8,10000.0
35,16.0,8.0,8,10000.0
36,0.0,4.0,8,10000.0
37,32.0,0.0,8,10000.0
38,31.0,1.5,8,10000.0
39,8.0,2.0,8,10000.0
40,16.0,4.0,8,10000.0
41,8.0,10.0,8,10000.0
42,12.0,1.0,8,10000.0
43,16.0,0.0,8,10000.0
44,16.0,8.0,8,10000.0
45,16.0,0.0,8,10000.0
46,20.0,1.0,8,10000.0
47,32.0,0.0,8,10000.0
48,2.0,4.0,8,10000.0
49,0.0,0.0,8,10000.0
50,0.0,8.0,8,10000.0
51,32.0,8.0,8,10000.0
52,64.0,0.0,8,10000.0
53,32.0,4.0,8,10000.0
54,0.0,4.0,8,10000.0
55,0.0,16.0,8,10000.0
56,0.0,4.0,8,10000.0
57,0.0,8.0,8,10000.0
58,32.0,8.0,8,10000.0
59,0.8125,3.0625,8,10000.0
60,8.0,2.0,8,10000.0
61,16.0,4.0,8,10000.0
62,40.0,8.0,8,10000.0
63,6.0,3.0,8,10000.0
64,9.5,4.5,8,10000.0
65,16.0,4.0,8,10000.0
66,0.0,8.0,8,10000.0
67,32.0,4.0,8,10000.0
68,0.0,8.0,8,10000.0
69,0.0,8.0,8,10000.0
70,16.0,4.0,8,10000.0
71,64.0,0.0,8,10000.0
72,6.0,4.0,8,10000.0
73,32.0,0.0,8,10000.0
74,0.0,8.0,8,10000.0
75,8.0,4.0,8,10000.0
76,32.0,0.0,8,10000.0
77,2.0,6.0,8,10000.0
78,22.0,2.0,8,10000.0
79,0.0,0.0,8,10000.0
80,0.0,2.0,8,10000.0
81,0.0,0.0,8,10000.0
82,0.0,8.0,8,10000.0
83,64.0,16.0,8,10000.0
84,8.0,1.5,8,10000.0
85,16.0,2.0,8,10000.0
86,0.0,4.0,8,10000.0
87,0.0,0.0,8,10000.0
88,16.0,4.0,8,10000.0
89,0.0,4.0,8,10000.0
90,0.0,16.0,8,10000.0
91,0.0,0.0,8,10000.0
92,0.0,0.0,8,10000.0
93,16.0,0.0,8,10000.0
94,0.0,0.0,8,10000.0
95,64.0,0.0,8,10000.0
96,16.0,4.0,8,10000.0
97,10.0,2.0,8,10000.0
98,16.0,4.0,8,10000.0
99,0.0,8.0,8,10000.0
