index;Posit32 error;Float32 error
0;3.64E-06;4.78E-05
1;3.15E-06;5.05E-05
2;2.97E-06;5.05E-05
3;3.01E-06;4.70E-05
4;3.20E-06;4.96E-05
5;2.83E-06;4.05E-05
6;3.16E-06;5.20E-05
7;3.07E-06;4.30E-05
8;2.74E-06;4.43E-05
9;3.26E-06;5.13E-05
10;2.67E-06;4.97E-05
11;2.59E-06;4.84E-05
12;2.79E-06;4.27E-05
13;3.14E-06;5.41E-05
14;2.95E-06;5.10E-05
15;2.73E-06;4.30E-05
16;2.31E-06;4.91E-05
17;2.59E-06;3.85E-05
18;2.66E-06;4.64E-05
19;2.82E-06;4.17E-05
20;2.94E-06;3.91E-05
21;3.16E-06;4.52E-05
22;2.35E-06;4.17E-05
23;3.13E-06;5.77E-05
24;2.79E-06;5.60E-05
25;3.07E-06;4.72E-05
26;2.57E-06;5.02E-05
27;3.07E-06;4.63E-05
28;2.81E-06;4.70E-05
29;2.88E-06;5.17E-05
30;3.23E-06;4.60E-05
31;2.77E-06;4.67E-05
32;3.28E-06;4.72E-05
33;2.92E-06;4.72E-05
34;2.92E-06;4.17E-05
35;2.80E-06;5.01E-05
36;2.68E-06;4.78E-05
37;2.85E-06;4.84E-05
38;3.05E-06;5.17E-05
39;2.94E-06;4.45E-05
40;2.88E-06;4.96E-05
41;2.59E-06;4.70E-05
42;3.10E-06;5.17E-05
43;3.00E-06;4.51E-05
44;2.94E-06;4.60E-05
45;2.70E-06;4.65E-05
46;3.14E-06;4.70E-05
47;2.91E-06;5.25E-05
48;3.13E-06;4.55E-05
49;2.56E-06;4.01E-05
50;2.82E-06;4.66E-05
51;3.16E-06;4.94E-05
52;2.82E-06;5.08E-05
53;3.37E-06;5.13E-05
54;3.07E-06;4.41E-05
55;2.94E-06;4.91E-05
56;3.43E-06;5.23E-05
57;3.00E-06;4.63E-05
58;3.02E-06;4.55E-05
59;3.13E-06;4.47E-05
60;2.57E-06;4.49E-05
61;2.97E-06;4.60E-05
62;2.97E-06;4.94E-05
63;2.67E-06;4.20E-05
64;2.55E-06;4.45E-05
65;3.26E-06;4.77E-05
66;3.22E-06;4.72E-05
67;3.00E-06;4.47E-05
68;2.77E-06;5.05E-05
69;2.85E-06;4.41E-05
70;3.41E-06;4.89E-05
71;2.84E-06;4.16E-05
72;2.89E-06;4.74E-05
73;2.85E-06;4.79E-05
74;2.91E-06;4.86E-05
75;3.20E-06;4.72E-05
76;2.91E-06;4.52E-05
77;2.20E-06;4.03E-05
78;3.29E-06;4.53E-05
79;3.19E-06;4.89E-05
80;2.74E-06;4.36E-05
81;3.44E-06;5.36E-05
82;2.92E-06;4.10E-05
83;2.97E-06;4.46E-05
84;2.88E-06;4.20E-05
85;3.28E-06;4.35E-05
86;3.05E-06;5.17E-05
87;3.09E-06;4.89E-05
88;3.22E-06;4.74E-05
89;3.02E-06;5.32E-05
90;2.86E-06;4.77E-05
91;2.70E-06;4.36E-05
92;3.05E-06;4.82E-05
93;2.74E-06;5.13E-05
94;2.95E-06;3.97E-05
95;2.79E-06;5.13E-05
96;2.87E-06;4.70E-05
97;2.70E-06;4.46E-05
98;3.29E-06;4.84E-05
99;2.91E-06;4.26E-05
